"","id","zip","x","y"
"11464",11465,"10306",-74.10911242,40.5796186
"11465",11466,"10302",-74.1297502,40.636667
"11466",11467,"10301",-74.07566062,40.6390923
"11467",11468,"10306",-74.10722606,40.57962586
"11468",11469,"10301",-74.07566062,40.6390923
"11469",11470,"10306",-74.11149231,40.56255459
"11470",11471,"10302",-74.14190449,40.63217314
"11471",11472,"10303",-74.15336818,40.62416283
"11472",11473,"10302",-74.14493574,40.63443381
"11473",11474,"10306",-74.11149231,40.56255459
"11474",11475,"10302",-74.14493574,40.63443381
"11475",11476,"10305",-74.07791244,40.59575324
"11476",11477,"10303",-74.1515185,40.62501343
"11477",11478,"10303",-74.17125231,40.63898418
"11478",11479,"10306",-74.10722606,40.57962586
"11479",11480,"10301",-74.07721685,40.64502275
"11480",11481,"10302",-74.13470815,40.63675462
"11481",11482,"10312",-74.19226954,40.54644275
"11482",11483,"10305",-74.06568493,40.60763488
"11483",11484,"10301",-74.08807737,40.63108788
"11484",11485,"10301",-74.08807737,40.63108788
"11485",11486,"10312",-74.19801419,40.53617835
"11486",11487,"10301",-74.07580557,40.64298157
"11487",11488,"10301",-74.07800695,40.6365765
"11488",11489,"10312",-74.17089149,40.55015461
"11489",11490,"10314",-74.1885759,40.5929405
"11490",11491,"10312",-74.18792487,40.54200883
"11491",11492,"10301",-74.07800695,40.6365765
"11492",11493,"10312",-74.18825797,40.54786024
"11493",11494,"10301",-74.07800695,40.6365765
"11494",11495,"10304",-74.0797273,40.62895853
"11495",11496,"10301",-74.07800695,40.6365765
"11496",11497,"10312",-74.18825797,40.54786024
"11497",11498,"10312",-74.17089149,40.55015461
"11498",11499,"10309",-74.21830055,40.5425919
"11499",11500,"10301",-74.08746692,40.63812599
"11500",11501,"10304",-74.08312222,40.61261363
"11501",11502,"10304",-74.08312222,40.61261363
"11502",11503,"10304",-74.08165623,40.61549122
"11503",11504,"10304",-74.07638199,40.6271465
"11504",11505,"10304",-74.07638199,40.6271465
"11505",11506,"10305",-74.06845173,40.60848415
"11506",11507,"10304",-74.08142463,40.61755822
"11507",11508,"10301",-74.07584801,40.6359439
"11508",11509,"10310",-74.12857206,40.63108267
"11509",11510,"10306",-74.10591441,40.57428569
"11510",11511,"10304",-74.0835811,40.61378532
"11511",11512,"10301",-74.08081364,40.64544846
"11512",11513,"10312",-74.19174573,40.53192628
"11513",11514,"10304",-74.08471673,40.6146244
"11514",11515,"10304",-74.0835811,40.61378532
"11515",11516,"10304",-74.0835811,40.61378532
"11516",11517,"10309",-74.21640544,40.52290687
"11517",11518,"10306",-74.16377007,40.56032903
"11518",11519,"10305",-74.07188705,40.61803943
"11519",11520,"10304",-74.08304928,40.61478207
"11520",11521,"10301",-74.07798324,40.63787206
"11521",11522,"10304",-74.08304928,40.61478207
"11522",11523,"10301",-74.07912305,40.64195278
"11523",11524,"10312",-74.17454723,40.53767666
"11524",11525,"10310",-74.11494231,40.63700115
"11525",11526,"10304",-74.08197986,40.62384889
"11526",11527,"10301",-74.07912305,40.64195278
"11527",11528,"10305",-74.06948999,40.61639403
"11528",11529,"10304",-74.08224154,40.61695378
"11529",11530,"10304",-74.07532235,40.62670254
"11530",11531,"10303",-74.15876222,40.63682822
"11531",11532,"10303",-74.15876222,40.63682822
"11532",11533,"10306",-74.13602967,40.55682718
"11533",11534,"10304",-74.07695154,40.62744804
"11534",11535,"10303",-74.15876222,40.63682822
"11535",11536,"10304",-74.08204929,40.61879293
"11536",11537,"10301",-74.10273254,40.63763028
"11537",11538,"10304",-74.08204929,40.61879293
"11538",11539,"10305",-74.07141311,40.61273404
"11539",11540,"10301",-74.07703272,40.64472094
"11540",11541,"10305",-74.08489053,40.60117202
"11541",11542,"10308",-74.14272058,40.5454418
"11542",11543,"10307",-74.23369938,40.51570348
"11543",11544,"10305",-74.08489053,40.60117202
"11544",11545,"10304",-74.08165623,40.61549122
"11545",11546,"10304",-74.07637338,40.62591135
"11546",11547,"10308",-74.14514939,40.56038976
"11547",11548,"10314",-74.13970057,40.60511215
"11548",11549,"10304",-74.08406343,40.62211817
"11549",11550,"10304",-74.08324819,40.62121023
"11550",11551,"10314",-74.13975941,40.60569123
"11551",11552,"10308",-74.14514939,40.56038976
"11552",11553,"10301",-74.0767169,40.64270648
"11553",11554,"10303",-74.16023979,40.63546201
"11554",11555,"10303",-74.16023979,40.63546201
"11555",11556,"10310",-74.12024115,40.63430858
"11556",11557,"10303",-74.16023979,40.63546201
"11557",11558,"10306",-74.11328381,40.56207524
"11558",11559,"10309",-74.20096428,40.52542175
"11559",11560,"10309",-74.20096428,40.52542175
"11560",11561,"10314",-74.151662,40.61999575
"11561",11562,"10305",-74.06558971,40.61335783
"11562",11563,"10301",-74.07721685,40.64502275
"11563",11564,"10304",-74.08471673,40.6146244
"11564",11565,"10306",-74.16377007,40.56032903
"11565",11566,"10310",-74.12595813,40.63386604
"11566",11567,"10306",-74.16377007,40.56032903
"11567",11568,"10309",-74.21853878,40.55162739
"11568",11569,"10301",-74.07567804,40.64173826
"11569",11570,"10301",-74.08727916,40.63781872
"11570",11571,"10304",-74.08277206,40.6235958
"11571",11572,"10301",-74.1006857,40.61356026
"11572",11573,"10306",-74.10911242,40.5796186
"11573",11574,"10301",-74.1006857,40.61356026
"11574",11575,"10312",-74.15699222,40.53842939
"11575",11576,"10310",-74.11750657,40.63637
"11576",11577,"10310",-74.11750657,40.63637
"11577",11578,"10305",-74.06446538,40.61276285
"11578",11579,"10302",-74.14453577,40.62110285
"11579",11580,"10310",-74.1199264,40.63759442
"11580",11581,"10303",-74.14517489,40.63671443
"11581",11582,"10303",-74.16918781,40.62055594
"11582",11583,"10304",-74.08204929,40.61879293
"11583",11584,"10305",-74.06839249,40.61042201
"11584",11585,"10305",-74.06839249,40.61042201
"11585",11586,"10310",-74.11865313,40.63681897
"11586",11587,"10305",-74.06446538,40.61276285
"11587",11588,"10301",-74.07703272,40.64472094
"11588",11589,"10302",-74.14453569,40.62106442
"11589",11590,"10314",-74.1594342,40.61195121
"11590",11591,"10310",-74.11865313,40.63681897
"11591",11592,"10306",-74.10660757,40.5687872
"11592",11593,"10301",-74.07721685,40.64502275
"11593",11594,"10309",-74.20788944,40.53495042
"11594",11595,"10308",-74.13609222,40.55043169
"11595",11596,"10301",-74.07721685,40.64502275
"11596",11597,"10312",-74.17894801,40.55275266
"11597",11598,"10314",-74.15849056,40.60891951
"11598",11599,"10301",-74.07721685,40.64502275
"11599",11600,"10309",-74.21646989,40.53725668
"11600",11601,"10304",-74.08104098,40.62494198
"11601",11602,"10305",-74.06684122,40.61505065
"11602",11603,"10302",-74.13590068,40.64025282
"11603",11604,"10301",-74.07721685,40.64502275
"11604",11605,"10301",-74.08132806,40.64472622
"11605",11606,"10302",-74.13590068,40.64025282
"11606",11607,"10312",-74.16998085,40.54298101
"11607",11608,"10303",-74.16740597,40.62391818
"11608",11609,"10303",-74.16740597,40.62391818
"11609",11610,"10303",-74.16740597,40.62391818
"11610",11611,"10301",-74.07550633,40.63966331
"11611",11612,"10301",-74.07597828,40.63959987
"11612",11613,"10304",-74.07660423,40.6293065
"11613",11614,"10304",-74.07660423,40.6293065
"11614",11615,"10301",-74.07703272,40.64472094
"11615",11616,"10301",-74.07968745,40.63782423
"11616",11617,"10301",-74.07703272,40.64472094
"11617",11618,"10301",-74.07721685,40.64502275
"11618",11619,"10301",-74.07968745,40.63782423
"11619",11620,"10304",-74.08191138,40.62675842
"11620",11621,"10306",-74.10600777,40.57414013
"11621",11622,"10304",-74.08191138,40.62675842
"11622",11623,"10314",-74.1599291,40.5840002
"11623",11624,"10314",-74.1599291,40.5840002
"11624",11625,"10314",-74.1599291,40.5840002
"11625",11626,"10301",-74.08405125,40.64104899
"11626",11627,"10314",-74.1599291,40.5840002
